'ipr_between_zero_and_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'helical_selectivity' depends on axioms: [propext, Classical.choice, Quot.sound]
'criticalRadius_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'criticalRadius_antitone' depends on axioms: [propext, Classical.choice, Quot.sound]
'selectivityFactor_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'reeb_alpha_eq_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'reeb_orbit_advances' depends on axioms: [propext, Classical.choice, Quot.sound]
'dnlsNorm_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'catgt_dm3_disk' depends on axioms: [propext, Classical.choice, Quot.sound]
'ensemble_scaling_forms_diverge' depends on axioms: [propext, Classical.choice, Quot.sound]
'relaxStep_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'relaxStep_contracts' depends on axioms: [propext, Classical.choice, Quot.sound]
'relax_iterate_dist' depends on axioms: [propext, Classical.choice, Quot.sound]
'criticalRadius_eq_fixedAmplitude' depends on axioms: [propext, Classical.choice, Quot.sound]
'sech_width_fixed_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'criticalRadiusNorm_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'criticalRadiusNorm_antitone' depends on axioms: [propext, Classical.choice, Quot.sound]
'selectivityFactorNorm_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
