'ReebFlowExt.deriv_line' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.dAlpha_formula' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.alphaLin_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.omega_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.omega_differentiableAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.hasFDerivAt_alphaCat' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.extDeriv_omega' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.dAlpha_eq_extDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.dAlpha_dr_dtheta' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.extDeriv_omega_dr_dtheta' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReebFlowExt.contactVol_frame' depends on axioms: [propext, Classical.choice, Quot.sound]
